State,Birthplace,
NM,1,pink
OK,9,crimson
AK,37,
LA,144,tan
TX,99,gold
MS,625,blue
AL,6720,pink
GA,798747,black
FL,3198,background
SC,20777,crimson
NC,1530,brown
VA,7303,pink
WV,31,tan
PA,50,blue
NY,38,gold
MA,42,crimson
CT,13,green
NJ,14,tan
DE,12,crimson
DC,74,crimson
MD,592,green
RI,2,gold
ME,10,background
OH,42,pink
IN,21,brown
KY,238,gold
TN,1058,green
MI,8,background
IL,12,crimson
MN,4,gold
NE,1,tan
ID,1,gold
OR,1,background
UT,1,blue
KS,6,green
MO,46,pink
WA,,brown
CA,,pink
NV,,green
AZ,,tan
CO,,background
WY,,brown
MT,,crimson
ND,,background
SD,,blue
IA,,green
WI,,blue
VT,,tan
NH,,blue
