State,Present Location,
CA,254,gold
AZ,48,blue
NM,38,tan
OK,68,gold
TX,12016,background
LA,6025,pink
AK,12142,
MS,589,tan
AL,24556,green
GA,798747,black
FL,3981,gold
SC,347,blue
NC,462,pink
VA,223,green
WV,40,brown
PA,321,crimson
NY,866,blue
MA,293,tan
CT,97,gold
NJ,229,background
DE,12,tan
DC,320,blue
MD,148,gold
RI,44,crimson
VT,11,pink
NH,14,background
ME,7,gold
MT,38,green
OH,474,tan
IN,193,pink
KY,424,background
TN,9998,brown
MI,51,brown
IL,556,gold
IA,120,background
WI,27,blue
MN,62,pink
ND,5,tan
WY,21,gold
NE,121,pink
ID,7,blue
WA,44,background
OR,32,crimson
NV,1,pink
UT,9,brown
CO,285,crimson
KS,480,green
MO,480,blue
MN,38,pink
SD,18,brown
